group,direction,n_subjects,n_trials,p,ci_lo,ci_hi
LTR,right,11,417,0.30080070869544556,0.2201421590895275,0.38697180042574775
LTR,left,11,417,0.6991992913045544,0.6130281995742523,0.7798578409104725
RTL,right,10,381,0.5142487629329734,0.3802622863247863,0.6441116382703552
RTL,left,10,381,0.4857512370670266,0.3558883617296448,0.6197377136752137
LTR,up,11,413,0.6857648099027409,0.5802859496825015,0.782401418026418
LTR,down,11,413,0.3142351900972591,0.21759858197358195,0.41971405031749853
RTL,up,10,375,0.7742392819366504,0.6864055856843685,0.8568421282492007
RTL,down,10,375,0.22576071806334963,0.1431578717507993,0.3135944143156315
