subject_nr,group,n_trials,mean_p_right,ci_lo,ci_hi
43,LTR,29,0.10344827586206896,0.0,0.2413793103448276
44,RTL,30,0.13333333333333333,0.03333333333333333,0.26666666666666666
51,LTR,33,0.5757575757575758,0.3939393939393939,0.7272727272727273
52,RTL,40,0.3,0.175,0.45
54,RTL,40,0.525,0.375,0.675
