group,direction,n_subjects,n_trials,p,ci_lo,ci_hi
LTR,right,11,435,0.28953187637398164,0.20299043062200958,0.38540758761153504
LTR,left,11,435,0.7104681236260184,0.614592412388465,0.7970095693779904
RTL,right,10,396,0.4912040887040887,0.375370841995842,0.6125
RTL,left,10,396,0.5087959112959113,0.38749999999999996,0.6246291580041581
LTR,up,11,433,0.7156924867451182,0.6136434760118971,0.8104077492564334
LTR,down,11,433,0.2843075132548818,0.18959225074356656,0.38635652398810294
RTL,up,10,394,0.8377923976608187,0.7724967105263157,0.8930734649122806
RTL,down,10,394,0.1622076023391813,0.10692653508771943,0.22750328947368426
