subject_nr,group,lang,trial_nr,block_index,position,img_left,img_right,x_left,y_left,x_right,y_right,first_fix_side,first_fix_rt_ms,response_time_ms,correct,arrangement,first_fix_direction,csvlog_fixated_clock,csvlog_physical_side,csvlog_physical_vert,reading_start_side,fix_matches_reading_onset,fpog_first_fix_direction,fpog_first_fix_rt_ms,fpog_first_fix_x,fpog_first_fix_y,fpog_median_ecc_px,fpog_exclusion_reason,fpog_excluded,fpog_fixated_clock,fpog_physical_side,fpog_physical_vert,bpog_first_fix_direction,bpog_first_fix_rt_ms,bpog_exclusion_reason,bpog_excluded,bpog_fixated_clock,bpog_physical_side,bpog_physical_vert
43,LTR,Deutsch,20,2,1,006.png,007.png,-308,0,308,0,006.png,30.19820000010077,1059.3655000000144,undefined,"(9, 3)",left,9.0,left,,left,True,left,341.609999999946,664.3642434782608,543.313252173913,299.8398792421306,none,False,9.0,left,,left,308.1600000000435,none,False,9.0,left,
43,LTR,Deutsch,21,2,4,008.png,009.png,0,-308,0,308,none,-1.0,1410.436499999836,undefined,"(12, 6)",none,,,,left,,left,5425.360000000069,902.6944000000001,291.26250000000005,293.8152382724482,none,False,12.0,,up,right,153.99999999999636,none,False,6.0,,down
43,LTR,Deutsch,22,2,5,010.png,011.png,-154,267,154,-267,010.png,32.32240000012098,1535.5580999999074,undefined,"(7, 1)",left,7.0,left,down,left,True,right,422.00000000002547,1094.2869942857142,278.48448,292.76452594882477,none,False,1.0,right,up,right,375.0,none,False,1.0,right,up
43,LTR,Deutsch,23,2,6,012.png,013.png,-267,154,267,-154,none,-1.0,2230.5209999999497,undefined,"(8, 2)",none,,,,left,,right,5372.010000000046,1213.3241379310348,385.3052689655172,314.4370537544544,none,False,2.0,right,up,right,5338.570000000004,none,False,2.0,right,up
43,LTR,Deutsch,24,2,5,014.png,015.png,-154,267,154,-267,none,-1.0,1601.320000000007,undefined,"(7, 1)",none,,,,left,,right,5284.96999999993,1113.8912,274.0384285714286,274.25808143685333,none,False,1.0,right,up,right,1433.8299999999435,none,False,1.0,right,up
43,LTR,Deutsch,25,3,5,000.png,001.png,-154,267,154,-267,000.png,32.68430000002263,1250.5106999999844,undefined,"(7, 1)",left,7.0,left,down,left,True,right,401.31000000008044,1097.409476923077,266.4726923076923,338.9676567228509,none,False,1.0,right,up,right,375.0,none,False,1.0,right,up
43,LTR,Deutsch,26,3,1,002.png,003.png,-308,0,308,0,002.png,193.02710000012303,1204.3091000000131,undefined,"(9, 3)",left,9.0,left,,left,True,left,535.5200000000195,671.716224,502.4157839999999,312.77336507320916,none,False,9.0,left,,left,481.93000000003394,none,False,9.0,left,
43,LTR,Deutsch,27,3,5,004.png,005.png,-154,267,154,-267,004.png,31.570200000016484,1236.347199999902,undefined,"(7, 1)",left,7.0,left,down,left,True,right,455.87000000000444,1119.4262709677419,260.97468387096774,312.9207777002189,none,False,1.0,right,up,right,422.18000000002576,none,False,1.0,right,up
43,LTR,Deutsch,28,3,3,006.png,007.png,-154,-267,154,267,006.png,29.757199999934528,1131.6662000001525,undefined,"(11, 5)",left,11.0,left,up,left,True,left,261.1100000000306,804.7633920000001,272.57904,290.19882313431185,none,False,11.0,left,up,left,234.01000000001204,none,False,11.0,left,up
43,LTR,Deutsch,29,3,4,008.png,009.png,0,-308,0,308,none,-1.0,1603.1940999998478,undefined,"(12, 6)",none,,,,left,,left,5325.260000000071,950.5742769230769,302.78464615384615,292.6972549305811,none,False,12.0,,up,right,2446.109999999976,none,False,6.0,,down
