subject_nr,group,n_trials,p_reading_congruent,ci_lo,ci_hi
43,LTR,30,0.9,0.7666666666666667,1.0
44,RTL,30,0.13333333333333333,0.03333333333333333,0.26666666666666666
51,LTR,41,0.5121951219512195,0.36585365853658536,0.6585365853658537
52,RTL,48,0.25,0.125,0.375
54,RTL,48,0.4375,0.2916666666666667,0.5833333333333334
