CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
296174	1987.74548	11044913411125	0.50531	0.48076	1987.54456	0.20093	3240	1	0.52322	0.50942	1	0.47709	0.52122	1	0.50015	0.51532	1	0.31828	0.40606	17.64750	0.97405	1	0.56788	0.37065	18.23916	0.97405	1	-0.04474	0.01715	0.64577	0.00382	1	0.01654	0.02367	0.63376	0.00375	1	1.35469	0.41181	0	0
296175	1987.75220	11044913477930	0.50538	0.48227	1987.54456	0.20764	3240	1	0.53175	0.52919	1	0.48292	0.52894	1	0.50733	0.52906	1	0.31825	0.40612	17.68558	0.96688	1	0.56783	0.37066	18.32758	0.96688	1	-0.04474	0.01715	0.64577	0.00383	1	0.01654	0.02367	0.63376	0.00370	1	1.35469	0.41181	0	START_TRIAL
296176	1987.75891	11044913544820	0.50545	0.48379	1987.54456	0.21436	3240	1	0.53238	0.53591	1	0.48292	0.52915	1	0.50765	0.53253	1	0.31822	0.40613	17.71514	0.95971	1	0.56769	0.37057	18.40836	0.96665	1	-0.04474	0.01715	0.64577	0.00382	1	0.01728	0.02480	0.66406	0.00367	1	1.35469	0.41181	0	MSG FIXATION_ONSET TRIAL=1 GROUP=LTR
296177	1987.76526	11044913608672	0.50533	0.48503	1987.54456	0.22070	3240	1	0.52437	0.52310	1	0.47867	0.52878	1	0.50152	0.52594	1	0.31832	0.40607	17.73119	0.96665	1	0.56771	0.37065	18.35300	0.97359	1	-0.04474	0.01715	0.64577	0.00380	1	0.01728	0.02480	0.66406	0.00364	1	1.35469	0.41181	0	
296178	1987.77185	11044913675203	0.50527	0.48568	1987.54456	0.22729	3240	1	0.52286	0.50404	1	0.48377	0.51117	1	0.50331	0.50761	1	0.31835	0.40618	17.56704	0.97359	1	0.56771	0.37065	18.35300	0.98054	1	-0.04474	0.01715	0.64577	0.00380	1	0.01728	0.02480	0.66406	0.00364	1	1.35469	0.41181	0	
296179	1987.77856	11044913741553	0.50520	0.48592	1987.54456	0.23401	3240	1	0.52151	0.49053	1	0.48355	0.49816	1	0.50253	0.49435	1	0.31828	0.40615	17.47782	0.98771	1	0.56783	0.37067	18.28490	0.99466	1	-0.04535	0.01736	0.65383	0.00384	1	0.01728	0.02480	0.66406	0.00368	1	1.35469	0.41181	0	
296180	1987.78540	11044913810610	0.50504	0.48603	1987.54456	0.24084	3240	1	0.52052	0.48839	1	0.47832	0.49150	1	0.49942	0.48994	1	0.31826	0.40626	17.49350	1.00183	1	0.56770	0.37065	18.32423	1.00183	1	-0.04535	0.01736	0.65383	0.00383	1	0.01728	0.02480	0.66406	0.00362	1	1.35469	0.41181	0	
296181	1987.79236	11044913879664	0.50499	0.48615	1987.54456	0.24780	3240	1	0.52642	0.48378	1	0.48011	0.49770	1	0.50327	0.49074	1	0.31840	0.40606	17.50270	1.00900	1	0.56777	0.37068	18.35644	1.00900	1	-0.04535	0.01736	0.65383	0.00376	1	0.01728	0.02480	0.66406	0.00364	1	1.35469	0.41181	0	
296182	1987.79871	11044913943522	0.50494	0.48618	1987.54456	0.25415	3240	1	0.52578	0.47702	1	0.48010	0.49749	1	0.50294	0.48725	1	0.31841	0.40614	17.55095	1.01617	1	0.56773	0.37061	18.27517	1.00922	1	-0.04535	0.01736	0.65383	0.00376	1	0.01654	0.02367	0.63376	0.00363	1	1.35469	0.41181	0	
296183	1987.80554	11044914011497	0.50481	0.48619	1987.54456	0.26099	3240	1	0.52181	0.49501	1	0.47737	0.47841	1	0.49959	0.48671	1	0.31837	0.40615	17.61378	1.00922	1	0.56773	0.37061	18.27517	1.00228	1	-0.04535	0.01736	0.65383	0.00370	1	0.01654	0.02367	0.63376	0.00363	1	1.35469	0.41181	0	
