CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
143912	967.67615	839745986744	0.26248	0.66266	967.57574	0.10040	1645	1	0.30406	0.62493	1	0.21755	0.74843	1	0.26081	0.68668	1	0.41052	0.38346	34.00543	0.94976	1	0.66052	0.42686	34.21092	0.94366	1	-0.02077	0.02110	0.62802	0.00683	1	0.03785	0.01231	0.61266	0.00675	1	1.38945	0.40764	0	
143913	967.68292	839746054618	0.26287	0.66402	967.57574	0.10718	1645	1	0.32544	0.62917	1	0.21258	0.74225	1	0.26901	0.68571	1	0.41044	0.38351	34.09056	0.94965	1	0.66044	0.42684	34.10887	0.94355	1	-0.02077	0.02110	0.62802	0.00681	1	0.03785	0.01231	0.61266	0.00673	1	1.38945	0.40764	0	
143914	967.68945	839746119929	0.26488	0.69214	967.57574	0.10718	1645	0	0.32863	0.63309	1	0.21314	0.74908	1	0.27089	0.69109	1	0.41038	0.38349	34.09472	0.94355	1	0.66036	0.42675	33.87370	0.93744	1	-0.02033	0.02047	0.61068	0.00682	1	0.03785	0.01231	0.61266	0.00674	1	1.38945	0.40764	0	START_TRIAL
143915	967.69604	839746185711	0.26035	0.70875	967.57574	0.10718	1645	0	0.31648	0.63651	1	0.19514	0.81419	1	0.25581	0.72535	1	0.41012	0.38351	34.03889	0.93145	1	0.66029	0.42671	34.03811	0.93145	1	-0.02033	0.02047	0.61068	0.00682	1	0.03785	0.01231	0.61266	0.00672	1	1.38945	0.40764	0	
143916	967.70258	839746250925	0.26307	0.71364	967.57574	0.10718	1645	0	0.31532	0.64310	1	0.22170	0.80372	1	0.26851	0.72341	1	0.41006	0.38350	34.05878	0.92545	1	0.66015	0.42671	33.89529	0.92545	1	-0.02033	0.02047	0.61068	0.00683	1	0.03785	0.01231	0.61266	0.00677	1	1.38945	0.40764	0	
143917	967.70941	839746319353	0.26436	0.71526	967.68945	0.01996	1646	1	0.31532	0.64310	1	0.22119	0.79715	1	0.26826	0.72013	1	0.41003	0.38349	34.02547	0.92545	1	0.66008	0.42667	34.12469	0.93156	1	-0.02070	0.02085	0.62052	0.00682	1	0.03856	0.01259	0.62645	0.00673	1	1.38945	0.40764	0	
143918	967.71613	839746386505	0.26265	0.71485	967.68945	0.02667	1646	1	0.31202	0.63122	1	0.19956	0.79523	1	0.25579	0.71323	1	0.40978	0.38341	34.01435	0.93755	1	0.65990	0.42657	33.97120	0.94366	1	-0.02070	0.02085	0.62052	0.00684	1	0.03856	0.01259	0.62645	0.00672	1	1.38945	0.40764	0	
143919	967.72284	839746453883	0.26488	0.71079	967.68945	0.03339	1646	1	0.32758	0.62230	1	0.22443	0.75870	1	0.27601	0.69050	1	0.40969	0.38340	34.08248	0.94965	1	0.65986	0.42660	34.01091	0.95575	1	-0.02070	0.02085	0.62052	0.00683	1	0.03856	0.01259	0.62645	0.00670	1	1.38945	0.40764	0	
143920	967.72955	839746521210	0.26624	0.70761	967.68945	0.04010	1646	1	0.32440	0.61834	1	0.22443	0.75870	1	0.27442	0.68852	1	0.40966	0.38340	34.13776	0.95575	1	0.65982	0.42658	33.94857	0.95575	1	-0.02031	0.02032	0.60481	0.00682	1	0.03759	0.01238	0.61146	0.00673	1	1.38945	0.40764	0	
143921	967.73621	839746587787	0.26507	0.70523	967.68945	0.04675	1646	1	0.30418	0.61568	1	0.20967	0.76138	1	0.25693	0.68853	1	0.40940	0.38346	34.07428	0.94976	1	0.65962	0.42650	33.94065	0.94366	1	-0.02031	0.02032	0.60481	0.00685	1	0.03759	0.01238	0.61146	0.00673	1	1.38945	0.40764	0	
143922	967.74304	839746655619	0.26331	0.70478	967.68945	0.05359	1646	1	0.30270	0.62627	1	0.19572	0.77610	1	0.24921	0.70118	1	0.40930	0.38350	33.98549	0.93766	1	0.65945	0.42642	34.07464	0.93156	1	-0.02031	0.02032	0.60481	0.00683	1	0.03759	0.01238	0.61146	0.00672	1	1.38945	0.40764	0	
143923	967.74951	839746720298	0.26211	0.70494	967.68945	0.06006	1646	1	0.30613	0.63012	1	0.19642	0.78276	1	0.25128	0.70644	1	0.40930	0.38350	34.15645	0.93156	1	0.65943	0.42638	33.93829	0.92545	1	-0.02090	0.02086	0.62076	0.00682	1	0.03759	0.01247	0.61145	0.00673	1	1.38945	0.40764	0	
143924	967.75659	839746791453	0.26201	0.70408	967.68945	0.06714	1646	1	0.31564	0.63038	1	0.20646	0.76051	1	0.26105	0.69545	1	0.40906	0.38336	34.03983	0.93145	1	0.65925	0.42640	33.93931	0.93145	1	-0.02090	0.02086	0.62076	0.00685	1	0.03759	0.01247	0.61145	0.00671	1	1.38945	0.40764	0	
143925	967.76312	839746856894	0.26252	0.70568	967.68945	0.07367	1646	1	0.33475	0.62952	1	0.20158	0.81705	1	0.26816	0.72329	1	0.40895	0.38337	34.08482	0.93744	1	0.65920	0.42635	34.06035	0.93744	1	-0.02090	0.02086	0.62076	0.00684	1	0.03759	0.01247	0.61145	0.00673	1	1.38945	0.40764	0	
143926	967.76996	839746925133	0.26281	0.70664	967.68945	0.08051	1646	1	0.33166	0.62559	1	0.20094	0.81080	1	0.26630	0.71820	1	0.40889	0.38336	34.09115	0.94344	1	0.65914	0.42633	33.97310	0.94344	1	-0.02138	0.02125	0.63230	0.00682	1	0.03735	0.01241	0.61049	0.00677	1	1.38945	0.40764	0	
143927	967.77673	839746992572	0.26287	0.70762	967.68945	0.08728	1646	1	0.31005	0.62680	1	0.21721	0.81384	1	0.26363	0.72032	1	0.40861	0.38347	34.02213	0.94344	1	0.65894	0.42634	34.10382	0.94344	1	-0.02138	0.02125	0.63230	0.00685	1	0.03735	0.01241	0.61049	0.00669	1	1.38945	0.40764	0	
143928	967.78339	839747059151	0.26231	0.70837	967.68945	0.09393	1646	1	0.30451	0.62856	1	0.20442	0.80908	1	0.25447	0.71882	1	0.40854	0.38351	34.04072	0.94344	1	0.65877	0.42630	33.94032	0.94344	1	-0.02138	0.02125	0.63230	0.00683	1	0.03735	0.01241	0.61049	0.00676	1	1.38945	0.40764	0	
143929	967.79004	839747125642	0.26182	0.70902	967.68945	0.10059	1646	1	0.30451	0.62856	1	0.20442	0.80908	1	0.25447	0.71882	1	0.40850	0.38350	34.10946	0.94344	1	0.65871	0.42630	33.94582	0.94344	1	-0.02127	0.02104	0.62616	0.00682	1	0.03726	0.01243	0.60909	0.00674	1	1.38945	0.40764	0	
143930	967.79675	839747193252	0.26195	0.70926	967.68945	0.10730	1646	1	0.30970	0.63012	1	0.21838	0.79624	1	0.26404	0.71318	1	0.40821	0.38339	34.03968	0.94344	1	0.65852	0.42628	34.10406	0.94344	1	-0.02127	0.02104	0.62616	0.00685	1	0.03726	0.01243	0.60909	0.00670	1	1.38945	0.40764	0	
143931	967.80347	839747260351	0.26226	0.70944	967.68945	0.11401	1646	1	0.33108	0.62770	1	0.20373	0.79720	1	0.26741	0.71245	1	0.40812	0.38339	34.16473	0.94344	1	0.65838	0.42619	34.05546	0.94344	1	-0.02127	0.02104	0.62616	0.00682	1	0.03726	0.01243	0.60909	0.00673	1	1.38945	0.40764	0	
143932	967.81018	839747327201	0.26262	0.70987	967.68945	0.12073	1646	1	0.33419	0.63162	1	0.20435	0.80353	1	0.26927	0.71758	1	0.40809	0.38343	34.11173	0.93744	1	0.65833	0.42618	34.02851	0.93744	1	-0.02084	0.02044	0.60964	0.00683	1	0.03679	0.01233	0.60437	0.00673	1	1.38945	0.40764	0	
143933	967.81689	839747394169	0.26281	0.71009	967.68945	0.12744	1646	1	0.31670	0.63293	1	0.21599	0.79560	1	0.26635	0.71427	1	0.40783	0.38347	34.02213	0.93145	1	0.65814	0.42612	33.95290	0.93145	1	-0.02084	0.02044	0.60964	0.00685	1	0.03679	0.01233	0.60437	0.00669	1	1.38945	0.40764	0	
143934	967.82355	839747461054	0.26256	0.71045	967.68945	0.13409	1646	1	0.30915	0.63863	1	0.20614	0.79677	1	0.25764	0.71770	1	0.40770	0.38345	34.12902	0.92545	1	0.65795	0.42606	33.97388	0.92545	1	-0.02084	0.02044	0.60964	0.00683	1	0.03679	0.01233	0.60437	0.00672	1	1.38945	0.40764	0	
143935	967.83026	839747528089	0.26242	0.71086	967.68945	0.14081	1646	1	0.31251	0.64242	1	0.20613	0.79665	1	0.25932	0.71954	1	0.40765	0.38348	34.19043	0.91946	1	0.65791	0.42607	34.01548	0.92556	1	-0.02079	0.02034	0.60537	0.00684	1	0.03772	0.01266	0.62040	0.00675	1	1.38945	0.40764	0	
143936	967.83698	839747594949	0.26311	0.71054	967.68945	0.14752	1646	1	0.34497	0.63100	1	0.21168	0.77568	1	0.27832	0.70334	1	0.40737	0.38336	34.14623	0.92556	1	0.65775	0.42592	33.97975	0.93167	1	-0.02079	0.02034	0.60537	0.00684	1	0.03772	0.01266	0.62040	0.00673	1	1.38945	0.40764	0	
143937	967.84369	839747662138	0.26326	0.70982	967.68945	0.15424	1646	1	0.33365	0.63307	1	0.19984	0.75340	1	0.26674	0.69324	1	0.40731	0.38337	34.04129	0.93167	1	0.65760	0.42590	33.93138	0.93777	1	-0.02079	0.02034	0.60537	0.00683	1	0.03772	0.01266	0.62040	0.00672	1	1.38945	0.40764	0	
143938	967.85022	839747727676	0.26334	0.70907	967.68945	0.16077	1646	1	0.33046	0.62907	1	0.19984	0.75340	1	0.26515	0.69124	1	0.40728	0.38335	34.05319	0.93777	1	0.65757	0.42588	34.03388	0.93777	1	-0.02089	0.02035	0.60558	0.00682	1	0.03667	0.01235	0.60539	0.00670	1	1.38945	0.40764	0	
143939	967.85693	839747794884	0.26330	0.70972	967.68945	0.16748	1646	1	0.30686	0.62199	1	0.21810	0.82970	1	0.26248	0.72584	1	0.40700	0.38343	34.13200	0.93777	1	0.65732	0.42578	33.94099	0.93167	1	-0.02089	0.02035	0.60558	0.00686	1	0.03667	0.01235	0.60539	0.00675	1	1.38945	0.40764	0	
143940	967.86377	839747862939	0.26290	0.71026	967.68945	0.17432	1646	1	0.30184	0.62772	1	0.20286	0.82118	1	0.25235	0.72445	1	0.40689	0.38342	34.12326	0.93167	1	0.65722	0.42574	33.98515	0.92556	1	-0.02089	0.02035	0.60558	0.00683	1	0.03667	0.01235	0.60539	0.00672	1	1.38945	0.40764	0	
143941	967.87048	839747930033	0.26259	0.71095	967.68945	0.18103	1646	1	0.30530	0.63158	1	0.20351	0.82760	1	0.25441	0.72959	1	0.40686	0.38339	34.24194	0.92556	1	0.65719	0.42574	33.98243	0.91946	1	-0.02098	0.02035	0.60562	0.00683	1	0.03667	0.01235	0.60539	0.00671	1	1.38945	0.40764	0	
143942	967.87695	839747994960	0.26343	0.71140	967.68945	0.18750	1646	1	0.35013	0.63578	1	0.22344	0.81218	1	0.28678	0.72398	1	0.40663	0.38333	34.11275	0.91946	1	0.65697	0.42567	34.12294	0.91946	1	-0.02098	0.02035	0.60562	0.00685	1	0.03667	0.01235	0.60539	0.00674	1	1.38945	0.40764	0	
143943	967.88385	839748064044	0.26375	0.71181	967.68945	0.19440	1646	1	0.33821	0.63407	1	0.20794	0.81309	1	0.27308	0.72358	1	0.40657	0.38332	34.08940	0.91946	1	0.65691	0.42560	33.94815	0.91946	1	-0.02098	0.02035	0.60562	0.00685	1	0.03667	0.01235	0.60539	0.00675	1	1.38945	0.40764	0	
143944	967.89050	839748130788	0.26399	0.71202	967.68945	0.20105	1646	1	0.33508	0.63006	1	0.20734	0.80668	1	0.27121	0.71837	1	0.40653	0.38332	34.03193	0.92545	1	0.65680	0.42560	33.83929	0.92545	1	-0.02170	0.02100	0.62496	0.00684	1	0.03690	0.01249	0.61207	0.00674	1	1.38945	0.40764	0	
143945	967.89722	839748197594	0.26422	0.71173	967.68945	0.20776	1646	1	0.31295	0.62187	1	0.22981	0.78381	1	0.27138	0.70284	1	0.40634	0.38338	34.14476	0.93145	1	0.65669	0.42558	34.08598	0.93145	1	-0.02170	0.02100	0.62496	0.00686	1	0.03690	0.01249	0.61207	0.00673	1	1.38945	0.40764	0	
143946	967.90393	839748264551	0.26419	0.71142	967.68945	0.21448	1646	1	0.30681	0.62353	1	0.21944	0.77905	1	0.26312	0.70129	1	0.40626	0.38342	34.04063	0.93744	1	0.65664	0.42559	34.03344	0.93744	1	-0.02170	0.02100	0.62496	0.00687	1	0.03690	0.01249	0.61207	0.00675	1	1.38945	0.40764	0	
143947	967.91034	839748328964	0.26410	0.71097	967.68945	0.22089	1646	1	0.30346	0.61972	1	0.21893	0.77253	1	0.26119	0.69613	1	0.40626	0.38342	34.04063	0.94344	1	0.65655	0.42562	33.91977	0.94344	1	-0.02145	0.02067	0.61531	0.00687	1	0.03690	0.01262	0.61207	0.00674	1	1.38945	0.40764	0	
143948	967.91718	839748397362	0.26349	0.71042	967.68945	0.22772	1646	1	0.28942	0.61483	1	0.19633	0.76900	1	0.24288	0.69191	1	0.40608	0.38334	34.05381	0.94344	1	0.65641	0.42550	34.01630	0.94344	1	-0.02145	0.02067	0.61531	0.00683	1	0.03690	0.01262	0.61207	0.00674	1	1.38945	0.40764	0	
143949	967.92401	839748465723	0.26336	0.70973	967.68945	0.23456	1646	1	0.28456	0.61626	1	0.23251	0.75484	1	0.25854	0.68555	1	0.40604	0.38333	34.17726	0.94344	1	0.65634	0.42547	34.17852	0.94344	1	-0.02145	0.02067	0.61531	0.00682	1	0.03690	0.01262	0.61207	0.00671	1	1.38945	0.40764	0	
143950	967.93060	839748531305	0.26327	0.70913	967.68945	0.24115	1646	1	0.28807	0.61998	1	0.23251	0.75471	1	0.26029	0.68735	1	0.40600	0.38335	34.15413	0.93744	1	0.65629	0.42543	34.01306	0.94355	1	-0.02113	0.02032	0.60490	0.00684	1	0.03769	0.01286	0.62602	0.00671	1	1.38945	0.40764	0	
143951	967.93738	839748599396	0.26370	0.70878	967.68945	0.24792	1646	1	0.34081	0.62417	1	0.21818	0.76750	1	0.27949	0.69584	1	0.40583	0.38336	34.11737	0.93755	1	0.65616	0.42550	34.00245	0.94366	1	-0.02113	0.02032	0.60490	0.00683	1	0.03769	0.01286	0.62602	0.00675	1	1.38945	0.40764	0	
143952	967.94403	839748665947	0.26394	0.70855	967.68945	0.25458	1646	1	0.33940	0.63136	1	0.20669	0.76847	1	0.27305	0.69992	1	0.40581	0.38337	34.17591	0.93766	1	0.65611	0.42550	33.99232	0.94377	1	-0.02113	0.02032	0.60490	0.00684	1	0.03769	0.01286	0.62602	0.00676	1	1.38945	0.40764	0	
143953	967.95081	839748733277	0.26412	0.70820	967.68945	0.26135	1646	1	0.33629	0.62734	1	0.20608	0.76183	1	0.27118	0.69458	1	0.40578	0.38339	34.13594	0.94377	1	0.65608	0.42549	33.94284	0.94987	1	-0.02166	0.02078	0.61847	0.00683	1	0.03745	0.01286	0.62352	0.00676	1	1.38945	0.40764	0	
143954	967.95752	839748800921	0.26415	0.70664	967.68945	0.26807	1646	1	0.29450	0.56204	1	0.23624	0.72616	1	0.26537	0.64410	1	0.40606	0.38284	34.20116	0.95586	1	0.65633	0.42489	33.93084	0.95586	1	-0.02166	0.02078	0.61847	0.00689	1	0.03745	0.01286	0.62352	0.00676	1	1.38945	0.40764	0	
143955	967.96423	839748867649	0.26532	0.70351	967.68945	0.27478	1646	1	0.34853	0.53883	1	0.27767	0.61210	1	0.31310	0.57547	1	0.40699	0.38194	34.32011	0.96186	1	0.65710	0.42396	33.81246	0.96186	1	-0.02166	0.02078	0.61847	0.00702	1	0.03745	0.01286	0.62352	0.00677	1	1.38945	0.40764	0	
143956	967.97070	839748932721	0.27260	0.67069	967.68945	0.27478	1646	0	0.34565	0.53430	1	0.27768	0.61224	1	0.31166	0.57327	1	0.40727	0.38154	34.23580	0.96785	1	0.65735	0.42364	33.84384	0.96175	1	-0.02163	0.02122	0.62592	0.00700	1	0.03690	0.01285	0.61207	0.00678	1	1.38945	0.40764	0	
143957	967.97748	839749000018	0.30965	0.55833	967.68945	0.27478	1646	0	0.36442	0.41564	1	0.32898	0.47629	1	0.34670	0.44596	1	0.40848	0.38060	34.37664	0.96175	1	0.65814	0.42250	33.41760	0.95565	1	-0.02163	0.02122	0.62592	0.00696	1	0.03690	0.01285	0.61207	0.00669	1	1.38945	0.40764	0	
143958	967.98413	839749066578	0.32003	0.54359	967.68945	0.27478	1646	0	0.35003	0.46910	1	0.33153	0.55912	1	0.34078	0.51411	1	0.40849	0.38056	34.49109	0.95565	1	0.65816	0.42249	33.38205	0.94954	1	-0.02163	0.02122	0.62592	0.00697	1	0.03690	0.01285	0.61207	0.00672	1	1.38945	0.40764	0	
143959	967.99103	839749135480	0.34366	0.49444	967.68945	0.27478	1646	0	0.35579	0.47934	1	0.33121	0.56716	1	0.34350	0.52325	1	0.40851	0.38055	34.49810	0.94355	1	0.65816	0.42248	33.38951	0.94355	1	-0.02089	0.02062	0.60558	0.00696	1	0.03757	0.01307	0.62254	0.00672	1	1.38945	0.40764	0	
143960	967.99750	839749200519	0.34911	0.47756	967.68945	0.27478	1646	0	0.35807	0.43581	1	0.35104	0.48554	1	0.35455	0.46068	1	0.40843	0.38050	34.59058	0.93755	1	0.65806	0.42241	33.52610	0.94366	1	-0.02089	0.02062	0.60558	0.00694	1	0.03757	0.01307	0.62254	0.00673	1	1.38945	0.40764	0	
143961	968.00421	839749267634	0.35104	0.47250	967.68945	0.27478	1646	0	0.35355	0.44058	1	0.35627	0.48420	1	0.35491	0.46239	1	0.40835	0.38047	34.62230	0.93766	1	0.65805	0.42237	33.56541	0.94377	1	-0.02089	0.02062	0.60558	0.00695	1	0.03757	0.01307	0.62254	0.00673	1	1.38945	0.40764	0	
143962	968.01086	839749334346	0.35200	0.46994	967.99103	0.01984	1647	1	0.35349	0.44048	1	0.35628	0.48405	1	0.35488	0.46226	1	0.40835	0.38048	34.59925	0.93777	1	0.65805	0.42237	33.56541	0.94388	1	-0.02089	0.02062	0.60558	0.00695	1	0.03757	0.01307	0.62254	0.00673	1	1.38945	0.40764	0	
143963	968.01740	839749399134	0.34963	0.47964	967.99103	0.02637	1647	1	0.36038	0.47935	1	0.31996	0.55754	1	0.34017	0.51845	1	0.40828	0.38037	34.38323	0.94388	1	0.65809	0.42238	33.54749	0.94388	1	-0.02089	0.02062	0.60558	0.00696	1	0.03757	0.01307	0.62254	0.00671	1	1.38945	0.40764	0	
143964	968.02429	839749468181	0.34778	0.48359	967.99103	0.03326	1647	1	0.35501	0.47035	1	0.32206	0.53632	1	0.33854	0.50333	1	0.40827	0.38035	34.38603	0.94388	1	0.65809	0.42232	33.59711	0.94388	1	-0.02089	0.02062	0.60558	0.00696	1	0.03757	0.01307	0.62254	0.00671	1	1.38945	0.40764	0	
143965	968.03076	839749532948	0.34646	0.48641	967.99103	0.03973	1647	1	0.35501	0.47035	1	0.32206	0.53632	1	0.33854	0.50333	1	0.40827	0.38034	34.38690	0.94388	1	0.65809	0.42227	33.49092	0.94388	1	-0.02089	0.02062	0.60558	0.00696	1	0.03757	0.01307	0.62254	0.00674	1	1.38945	0.40764	0	
143966	968.03766	839749602033	0.34611	0.48945	967.99103	0.04663	1647	1	0.35950	0.49975	1	0.32770	0.52175	1	0.34360	0.51075	1	0.40827	0.38031	34.38061	0.94388	1	0.65814	0.42219	33.56595	0.94388	1	-0.02089	0.02062	0.60558	0.00695	1	0.03757	0.01307	0.62254	0.00671	1	1.38945	0.40764	0	
143967	968.04425	839749668045	0.34581	0.49132	967.99103	0.05322	1647	1	0.35968	0.49694	1	0.32722	0.51564	1	0.34345	0.50629	1	0.40828	0.38024	34.46004	0.94388	1	0.65825	0.42217	33.68023	0.94388	1	-0.02089	0.02062	0.60558	0.00695	1	0.03757	0.01307	0.62254	0.00668	1	1.38945	0.40764	0	
143968	968.05109	839749736547	0.34546	0.49168	967.99103	0.06006	1647	1	0.35685	0.49196	1	0.32784	0.49781	1	0.34235	0.49489	1	0.40828	0.38021	34.47341	0.94987	1	0.65827	0.42215	33.62618	0.95665	1	-0.02163	0.02131	0.62592	0.00695	1	0.17971	0.06424	3.03739	0.00668	0	1.38945	0.40764	0	
143969	968.05762	839749801328	0.34556	0.49059	967.99103	0.06659	1647	1	0.35671	0.48243	1	0.33642	0.47692	1	0.34657	0.47968	1	0.40830	0.38020	34.49445	0.96265	1	0.65830	0.42208	33.57015	0.96943	1	-0.02163	0.02131	0.62592	0.00694	1	0.17971	0.06424	3.03739	0.00668	0	1.38945	0.40764	0	
143970	968.06433	839749868493	0.34543	0.48765	967.99103	0.07330	1647	1	0.34814	0.46212	1	0.33979	0.44849	1	0.34396	0.45531	1	0.40832	0.38013	34.40144	0.97542	1	0.65829	0.42206	33.56245	0.98220	1	-0.02163	0.02131	0.62592	0.00695	1	0.17971	0.06424	3.03739	0.00668	0	1.38945	0.40764	0	
143971	968.07141	839749939607	0.34518	0.48528	967.99103	0.08038	1647	1	0.34494	0.45648	1	0.33940	0.45713	1	0.34217	0.45681	1	0.40832	0.38012	34.39206	0.98220	1	0.65837	0.42204	33.61602	0.97610	1	-0.02089	0.02062	0.60558	0.00694	1	0.03667	0.01289	0.60539	0.00669	1	1.38945	0.40764	0	
143972	968.07812	839750006507	0.34502	0.48410	967.99103	0.08710	1647	1	0.36155	0.45667	1	0.32432	0.48089	1	0.34294	0.46878	1	0.40836	0.38008	34.32845	0.97011	1	0.65848	0.42197	33.58508	0.95722	1	-0.02089	0.02062	0.60558	0.00696	1	0.03667	0.01289	0.60539	0.00669	1	1.38945	0.40764	0	
143973	968.08447	839750070108	0.34747	0.48501	967.99103	0.09344	1647	1	0.40098	0.48170	1	0.36265	0.51376	1	0.38181	0.49773	1	0.40904	0.38017	34.39212	0.95123	1	0.65921	0.42210	33.46043	0.93834	1	-0.02089	0.02062	0.60558	0.00696	1	0.03667	0.01289	0.60539	0.00673	1	1.38945	0.40764	0	
143974	968.09100	839750135738	0.34982	0.48689	967.99103	0.09998	1647	1	0.40859	0.49850	1	0.36146	0.53186	1	0.38503	0.51518	1	0.40929	0.38015	34.30257	0.93235	1	0.65958	0.42222	33.42975	0.92556	1	-0.02053	0.02063	0.60579	0.00702	1	0.03839	0.01324	0.62829	0.00674	1	1.38945	0.40764	0	
143975	968.09802	839750205889	0.36392	0.48278	967.99103	0.10699	1647	1	0.57682	0.39971	1	0.60224	0.43408	1	0.58953	0.41689	1	0.41330	0.38051	34.44239	0.92556	1	0.66306	0.42269	33.24419	0.93167	1	-0.02053	0.02063	0.60579	0.00721	1	0.03839	0.01324	0.62829	0.00684	1	1.38945	0.40764	0	
143976	968.10461	839750271312	0.38060	0.48139	967.99103	0.11359	1647	1	0.66627	0.41482	1	0.66219	0.50070	1	0.66423	0.45776	1	0.41567	0.38082	34.53656	0.93167	1	0.66533	0.42304	32.73488	0.93777	1	-0.02053	0.02063	0.60579	0.00717	1	0.03839	0.01324	0.62829	0.00681	1	1.38945	0.40764	0	
