CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
63913	431.84781	6770591676282	0.31014	0.43506	431.17804	0.66977	1387	1	0.34136	0.44286	1	0.28008	0.43006	1	0.31072	0.43646	1	0.33662	0.39899	20.70458	1.00922	1	0.58329	0.40455	17.29866	1.00922	1	-0.03969	0.01830	0.64556	0.00440	1	0.02092	0.01724	0.64586	0.00384	1	0.31250	0.90000	0	
63914	431.85458	6770591744081	0.31041	0.43489	431.17804	0.67654	1387	1	0.34136	0.44286	1	0.28008	0.43006	1	0.31072	0.43646	1	0.33663	0.39894	20.72854	1.00922	1	0.58333	0.40447	17.45494	1.00922	1	-0.03967	0.01834	0.64684	0.00440	1	0.02099	0.01722	0.64499	0.00375	1	0.31250	0.90000	0	START_TRIAL
63915	431.86127	6770591810762	0.31039	0.43591	431.17804	0.68323	1387	1	0.29769	0.47313	1	0.30559	0.46503	1	0.30164	0.46908	1	0.33673	0.39897	20.58965	1.00922	1	0.58344	0.40470	17.44369	1.00922	1	-0.03967	0.01834	0.64684	0.00432	1	0.02099	0.01722	0.64499	0.00376	1	0.31250	0.90000	0	
63916	431.86771	6770591875117	0.31047	0.43768	431.17804	0.68967	1387	1	0.30194	0.48078	1	0.30523	0.48482	1	0.30359	0.48280	1	0.33677	0.39896	20.63785	1.00922	1	0.58345	0.40466	17.43232	1.00922	1	-0.03967	0.01834	0.64684	0.00434	1	0.02099	0.01722	0.64499	0.00371	1	0.31250	0.90000	0	
63917	431.87454	6770591943552	0.31057	0.43945	431.17804	0.69650	1387	1	0.30194	0.48078	1	0.30458	0.47798	1	0.30326	0.47938	1	0.33688	0.39920	20.99542	1.00922	1	0.58357	0.40467	17.61725	1.01657	1	-0.03902	0.01799	0.63781	0.00433	1	0.02143	0.01744	0.65691	0.00374	1	0.31250	0.90000	0	
63918	431.88104	6770592008538	0.31122	0.44012	431.17804	0.70300	1387	1	0.31760	0.47491	1	0.32296	0.40788	1	0.32028	0.44140	1	0.33708	0.39927	21.14195	1.01657	1	0.58357	0.40461	17.15899	1.02393	1	-0.03902	0.01799	0.63781	0.00432	1	0.02143	0.01744	0.65691	0.00379	1	0.31250	0.90000	0	
63919	431.88788	6770592076990	0.31149	0.44077	431.17804	0.70984	1387	1	0.32400	0.48064	1	0.29318	0.39991	1	0.30859	0.44028	1	0.33712	0.39925	21.18236	1.02393	1	0.58366	0.40473	17.32586	1.03128	1	-0.03902	0.01799	0.63781	0.00428	1	0.02143	0.01744	0.65691	0.00372	1	0.31250	0.90000	0	
63920	431.89450	6770592143267	0.31172	0.44129	431.17804	0.71646	1387	1	0.32022	0.46676	1	0.29246	0.39250	1	0.30634	0.42963	1	0.33718	0.39915	20.82886	1.03877	1	0.58381	0.40490	17.38920	1.03877	1	-0.04016	0.01853	0.65726	0.00430	1	0.02091	0.01698	0.63956	0.00373	1	0.31250	0.90000	0	
63921	431.90100	6770592208187	0.31171	0.44247	431.17804	0.72296	1387	1	0.30492	0.46619	1	0.31388	0.41432	1	0.30940	0.44025	1	0.33738	0.39913	20.74794	1.04626	1	0.58391	0.40495	17.46878	1.03890	1	-0.04016	0.01853	0.65726	0.00437	1	0.02091	0.01698	0.63956	0.00375	1	0.31250	0.90000	0	
63922	431.90778	6770592275971	0.31160	0.44233	431.17804	0.72974	1387	1	0.31430	0.38923	1	0.31134	0.43078	1	0.31282	0.41000	1	0.33743	0.39914	20.53323	1.04639	1	0.58395	0.40498	17.43840	1.03904	1	-0.04016	0.01853	0.65726	0.00436	1	0.02091	0.01698	0.63956	0.00375	1	0.31250	0.90000	0	
63923	431.91470	6770592345214	0.31153	0.44242	431.17804	0.73666	1387	1	0.31616	0.39656	1	0.31193	0.43780	1	0.31404	0.41718	1	0.33753	0.39913	20.83563	1.03904	1	0.58423	0.40491	17.13138	1.03169	1	-0.03850	0.01783	0.63231	0.00429	1	0.00000	0.00000	0.00000	0.00373	0	0.31250	0.90000	0	
63924	431.92111	6770592409263	0.31142	0.44300	431.17804	0.74307	1387	1	0.30557	0.46359	1	0.30412	0.42759	1	0.30485	0.44559	1	0.33769	0.39912	20.91185	1.02420	1	0.58425	0.40492	17.34453	1.02420	1	-0.03850	0.01783	0.63231	0.00434	1	0.00000	0.00000	0.00000	0.00373	0	0.31250	0.90000	0	
63925	431.92792	6770592477350	0.31141	0.44397	431.17804	0.74988	1387	1	0.31075	0.45851	1	0.31806	0.42330	1	0.31441	0.44091	1	0.33782	0.39916	21.09023	1.01671	1	0.58430	0.40494	17.27810	1.01671	1	-0.03850	0.01783	0.63231	0.00427	1	0.00000	0.00000	0.00000	0.00367	0	0.31250	0.90000	0	
63926	431.93494	6770592547561	0.31137	0.44478	431.17804	0.75690	1387	1	0.31275	0.46571	1	0.31807	0.42344	1	0.31541	0.44458	1	0.33797	0.39910	21.15885	1.00922	1	0.58448	0.40488	16.95417	1.01657	1	-0.03850	0.01783	0.63231	0.00431	1	0.02182	0.01760	0.66293	0.00371	1	0.31250	0.90000	0	
63927	431.94174	6770592615422	0.31160	0.44490	431.17804	0.76370	1387	1	0.33707	0.46022	1	0.30112	0.41767	1	0.31910	0.43895	1	0.33808	0.39914	20.97398	1.01657	1	0.58456	0.40488	17.11185	1.02393	1	-0.03850	0.01783	0.63231	0.00441	1	0.02182	0.01760	0.66293	0.00373	1	0.31250	0.90000	0	
63928	431.94836	6770592681695	0.31188	0.44509	431.17804	0.77032	1387	1	0.31666	0.47163	1	0.30906	0.43964	1	0.31286	0.45564	1	0.33814	0.39906	20.81071	1.02393	1	0.58460	0.40489	17.32929	1.03128	1	-0.03850	0.01783	0.63231	0.00443	1	0.02182	0.01760	0.66293	0.00371	1	0.31250	0.90000	0	
63929	431.95483	6770592746385	0.31217	0.44528	431.17804	0.77679	1387	1	0.31475	0.46469	1	0.30906	0.43964	1	0.31190	0.45217	1	0.33825	0.39893	20.73989	1.03128	1	0.58474	0.40496	17.36546	1.03128	1	-0.03873	0.01808	0.63772	0.00443	1	0.02109	0.01697	0.63919	0.00374	1	0.31250	0.90000	0	
63930	431.96170	6770592815156	0.31206	0.44551	431.17804	0.78366	1387	1	0.29170	0.43042	1	0.31824	0.44463	1	0.30497	0.43752	1	0.33822	0.39892	20.70052	1.03128	1	0.58480	0.40492	17.16570	1.02393	1	-0.03873	0.01808	0.63772	0.00441	1	0.02109	0.01697	0.63919	0.00376	1	0.31250	0.90000	0	
63931	431.96817	6770592879948	0.31185	0.44588	431.17804	0.79013	1387	1	0.29418	0.43667	1	0.32124	0.45223	1	0.30771	0.44445	1	0.33841	0.39887	20.45051	1.02393	1	0.58484	0.40497	17.15329	1.01657	1	-0.03873	0.01808	0.63772	0.00437	1	0.02109	0.01697	0.63919	0.00373	1	0.31250	0.90000	0	
63932	431.97470	6770592945002	0.31165	0.44625	431.17804	0.79666	1387	1	0.29621	0.44383	1	0.32177	0.45927	1	0.30899	0.45155	1	0.33843	0.39905	21.03761	1.01657	1	0.58497	0.40494	17.03209	1.00922	1	-0.03866	0.01809	0.63822	0.00430	1	0.02124	0.01702	0.64094	0.00375	1	0.31250	0.90000	0	
