"BLOCK_SIZE","DEADLINE_MS","NUM_BLOCKS","acc","accuracy","average_response_time","avg_rt","background","block_index","canvas_backend","central_fixation","clock_backend","color_backend","coordinates","correct","correct_Circle","correct_response_prompt","count_Circle","count_calibration_note","count_epilogue","count_experiment","count_fixation","count_fixation_cross_inline_script","count_goodbye","count_init_experiment","count_instructions","count_iti","count_language_selection","count_log_trial","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_pygaze_log","count_new_advanced_delay","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_position_randomization_inline_script","count_prime_display","count_record_response","count_response_prompt","count_set_prime","count_stimulus_display","count_stimulus_positions_inline_script","count_trial_loop","count_trial_sequence","count_trigger_fixation","count_trigger_stimulus","count_welcome","d","datetime","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","first_fix_rt","first_fix_side","first_fix_x","first_fix_y","fixation_found","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","group","gx","gy","height","idx","img_left","img_right","key","keyboard_backend","lang","live_row","live_row_trial_loop","logfile","margin","mouse_backend","mouse_simulation","onset","opensesame_codename","opensesame_version","pos","position","prime_condition","prime_index","prime_lang","prime_text","repeat_cycle","response","response_Circle","response_count","response_new_1_sketchpad","response_new_sketchpad","response_response_prompt","response_time","response_time_Circle","response_time_new_1_sketchpad","response_time_new_sketchpad","response_time_response_prompt","round_decimals","sampler_backend","seq","show_prime","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","t0","target_x_left","target_x_right","target_y_left","target_y_right","time_Circle","time_calibration_note","time_epilogue","time_experiment","time_fixation","time_fixation_cross_inline_script","time_goodbye","time_init_experiment","time_instructions","time_iti","time_language_selection","time_log_trial","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_pygaze_log","time_new_advanced_delay","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_position_randomization_inline_script","time_prime_display","time_record_response","time_response_prompt","time_set_prime","time_stimulus_display","time_stimulus_positions_inline_script","time_trial_loop","time_trial_sequence","time_trigger_fixation","time_trigger_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","trial_nr","txt_calibration","txt_goodbye","txt_instructions","txt_response_prompt","txt_welcome","ui_language","width","xL","xR","x_left","x_right","yL","yR","y_left","y_right"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","0","0","0","0","0","NA","0","0","0","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","59.36781024715664","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","216.70270000000164","000.png","674.1043199999999","251.38944","True","False","mono","False","18","no","white","no","yes","LTR","674.1043199999999","251.38944","864","0","000.png","001.png","2","psycho","English","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","42942.8082","Neonatal Nightingale","4.1.14","3","3","prime_1","1","LTR","On a sunny farm, a mother duck waited for her eggs to hatch. The eggs cracked open one by one, and fluffy yellow ducklings came out. One egg was bigger and took longer to hatch.","0","num_2","space","num_2","NA","NA","num_2","1159.5954000000056","971.9691999999995","NA","NA","1159.5954000000056","2","psycho","3,6,4,1,2,5,4,1,5,2,6,3,6,5,4,3,1,2,3,5,2,4,6,1,4,1,6,2,5,3,5,2,4,3,1,6,6,3,2,4,1,5,5,6,2,1,4,3","True","1024","2","48000","-16","experiment","62","even","41.6454655","614.0","922.0","165.0","699.0","37813.3081","NA","NA","5476.560100000001","41645.400499999996","41645.449","NA","6986.201199999997","36506.3471","NA","5476.747399999994","49122.027500000004","41625.68469999999","NA","41916.575800000006","41926.97409999999","7609.699399999997","47947.863900000004","38785.9522","NA","NA","38992.2899","39096.695799999994","49121.9931","47961.70619999999","39096.6461","42930.6783","42927.1406","38992.432199999996","39096.087999999996","42930.72359999999","42942.76359999999","6986.267799999993","Attentional Spatial Bias","0","0","0","1","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","-267","267","-267","267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","1","1","0","0","0","NA","0","1","1","NA","1","1","0","1","0","0","NA","0","1","1","1","1","1","1","0","1","1","1","0","42.46241945634286","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","359.5142000000051","002.png","526.47936","508.23936","True","False","mono","False","18","no","white","no","yes","LTR","526.47936","508.23936","864","0","002.png","003.png","2","psycho","English","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","50298.054","Neonatal Nightingale","4.1.14","6","6","no_prime_trial_2","2","LTR","","0","num_1","space","num_1","NA","NA","num_1","629.6045000000013","971.9691999999995","NA","NA","629.6045000000013","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","49.2436445","501.0","1035.0","586.0","278.0","37813.3081","NA","NA","5476.560100000001","49243.5182","49243.619","NA","6986.201199999997","36506.3471","NA","5476.747399999994","55938.08659999999","49231.897000000004","NA","49281.89310000001","49287.623600000006","7609.699399999997","55299.48440000001","38785.9522","NA","NA","38992.2899","49231.874500000005","55938.0539","55307.73780000001","49231.797999999995","50291.7135","50287.7641","38992.432199999996","49230.829099999995","50291.7767","50298.0144","6986.267799999993","Attentional Spatial Bias","0","0","0","2","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","154","-154","154","-154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","2","2","0","0","0","NA","0","2","2","NA","2","2","0","2","0","0","NA","0","2","2","2","2","2","2","0","2","2","2","0","32.11346210841808","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","255.7476999999999","004.png","821.77536","271.53792","True","False","mono","False","18","no","white","no","yes","LTR","821.77536","271.53792","864","0","004.png","005.png","2","psycho","English","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","57369.746599999984","Neonatal Nightingale","4.1.14","4","4","no_prime_trial_3","3","LTR","","0","num_2","space","num_2","NA","NA","num_2","677.9170000000086","971.9691999999995","NA","NA","677.9170000000086","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","56.0720642","768.0","768.0","124.0","740.0","37813.3081","NA","NA","5476.560100000001","56071.91180000001","56072.0359","NA","6986.201199999997","36506.3471","NA","5476.747399999994","63058.0884","56060.216400000005","NA","56354.23689999999","56359.99340000001","7609.699399999997","62370.002499999995","38785.9522","NA","NA","38992.2899","56060.182400000005","63058.054699999986","62379.43350000001","56060.10520000001","57363.77200000001","57360.49850000001","38992.432199999996","56059.09109999999","57363.82269999998","57369.71600000001","6986.267799999993","Attentional Spatial Bias","0","0","0","3","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","0","0","0","0","-308","308","-308","308"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","3","3","0","0","0","NA","0","3","3","NA","3","3","0","3","0","0","NA","0","3","3","3","3","3","3","0","3","3","3","0","87.4315356728818","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","207.93589999999676","006.png","535.7568","292.23936","True","False","mono","False","18","no","white","no","yes","LTR","535.7568","292.23936","864","0","006.png","007.png","2","psycho","English","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","64560.02989999999","Neonatal Nightingale","4.1.14","1","1","no_prime_trial_4","4","LTR","","0","num_2","space","num_2","NA","NA","num_2","540.3450999999914","971.9691999999995","NA","NA","540.3450999999914","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","63.25250249999999","460.0","1076.0","432.0","432.0","37813.3081","NA","NA","5476.560100000001","63252.0705","63252.4769","NA","6986.201199999997","36506.3471","NA","5476.747399999994","70113.9559","63238.2409","NA","63542.67239999999","63548.456600000005","7609.699399999997","69564.76470000001","38785.9522","NA","NA","38992.2899","63238.21920000001","70113.92520000001","69572.9422","63238.16410000001","64552.2766","64548.74849999999","38992.432199999996","63237.214599999985","64552.326599999986","64559.96719999999","6986.267799999993","Attentional Spatial Bias","0","0","0","4","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-308","308","-308","308","0","0","0","0"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","4","4","0","0","0","NA","0","4","4","NA","4","4","0","4","0","0","NA","0","4","4","4","4","4","4","0","4","4","4","0","97.61467815659701","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","202.71249999997963","008.png","604.7232","391.07232","True","False","mono","False","18","no","white","no","yes","LTR","604.7232","391.07232","864","0","008.png","009.png","2","psycho","English","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","71532.58120000002","Neonatal Nightingale","4.1.14","2","2","no_prime_trial_5","5","LTR","","0","num_1","space","num_1","NA","NA","num_1","3983.6254999999946","971.9691999999995","NA","NA","3983.6254999999946","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","70.24543589999999","501.0","1035.0","278.0","586.0","37813.3081","NA","NA","5476.560100000001","70245.293","70245.41070000001","NA","6986.201199999997","36506.3471","NA","5476.747399999994","80530.11989999999","70233.73340000001","NA","70513.02139999998","70518.31669999998","7609.699399999997","76537.7412","38785.9522","NA","NA","38992.2899","70233.71320000001","80530.06980000001","76545.579","70233.6623","71521.5987","71518.62589999998","38992.432199999996","70232.73040000001","71521.6498","71532.53860000001","6986.267799999993","Attentional Spatial Bias","0","0","0","5","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","-154","154","-154","154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","5","5","0","0","0","NA","0","5","5","NA","5","5","0","5","0","0","NA","0","5","5","5","5","5","5","0","5","5","5","0","76.42245411136177","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","249.65549999999348","011.png","823.296","272.79936000000004","True","False","mono","False","18","no","white","no","yes","LTR","823.296","272.79936000000004","864","0","010.png","011.png","2","psycho","English","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","81820.0545","Neonatal Nightingale","4.1.14","5","5","no_prime_trial_6","6","LTR","","0","num_2","space","num_2","NA","NA","num_2","490.5975000000035","971.9691999999995","NA","NA","490.5975000000035","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","80.6534604","614.0","922.0","699.0","165.0","37813.3081","NA","NA","5476.560100000001","80653.2765","80653.4216","NA","6986.201199999997","36506.3471","NA","5476.747399999994","87321.81119999998","80641.61319999999","NA","80801.17239999998","80806.8482","7609.699399999997","86822.18789999999","38785.9522","NA","NA","38992.2899","80641.593","87321.7798","86830.69069999999","80641.54260000002","81810.50970000001","81807.4853","38992.432199999996","80640.72690000001","81810.563","81820.0162","6986.267799999993","Attentional Spatial Bias","0","0","0","6","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","267","-267","267","-267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","6","6","0","0","0","NA","0","6","6","NA","6","6","0","6","0","0","NA","0","6","6","6","6","6","6","0","6","6","6","0","72.22739785786543","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","216.84700000000885","012.png","729.4464","217.59840000000003","True","False","mono","False","18","no","white","no","yes","LTR","729.4464","217.59840000000003","864","1","012.png","013.png","2","psycho","English","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","95593.0821","Neonatal Nightingale","4.1.14","4","4","prime_2","7","LTR","A big grey bird came out of the last egg. He looked different from the others. The ducklings laughed and called him ugly. Sad and alone, he ran away from the farm.","0","num_1","space","num_1","NA","NA","num_1","478.4511000000057","971.9691999999995","NA","NA","478.4511000000057","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","True","1024","2","48000","-16","experiment","62","even","94.57074800000001","768.0","768.0","124.0","740.0","37813.3081","NA","NA","5476.560100000001","94570.67820000001","94570.7274","NA","6986.201199999997","36506.3471","NA","5476.747399999994","101081.7668","94561.65490000001","NA","94575.97759999998","94581.7569","7609.699399999997","100594.9153","38785.9522","NA","NA","38992.2899","87446.36489999999","101081.7336","100602.7781","87446.30979999999","95585.58489999999","95582.16709999999","38992.432199999996","87445.6295","95585.6435","95593.03119999998","6986.267799999993","Attentional Spatial Bias","0","0","0","7","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","0","0","0","0","-308","308","-308","308"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","7","7","0","0","0","NA","0","7","7","NA","7","7","0","7","0","0","NA","0","7","7","7","7","7","7","0","7","7","7","0","97.89071562575076","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","219.22289999997884","014.png","552.40704","458.57664","True","False","mono","False","18","no","white","no","yes","LTR","552.40704","458.57664","864","1","014.png","015.png","2","psycho","English","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","102248.8298","Neonatal Nightingale","4.1.14","1","1","no_prime_trial_8","8","LTR","","0","num_0","space","num_0","NA","NA","num_0","383.486699999994","971.9691999999995","NA","NA","383.486699999994","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","101.223683","460.0","1076.0","432.0","432.0","37813.3081","NA","NA","5476.560100000001","101223.58890000002","101223.66320000001","NA","6986.201199999997","36506.3471","NA","5476.747399999994","107641.8989","101212.69090000002","NA","101229.25219999999","101234.801","7609.699399999997","107249.64170000001","38785.9522","NA","NA","38992.2899","101212.67119999998","107641.86950000002","107257.8202","101212.61859999999","102237.78229999999","102234.9371","38992.432199999996","101212.0994","102237.8649","102248.7784","6986.267799999993","Attentional Spatial Bias","0","0","0","8","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-308","308","-308","308","0","0","0","0"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","8","8","0","0","0","NA","0","8","8","NA","8","8","0","8","0","0","NA","0","8","8","8","8","8","8","0","8","8","8","0","91.83568893965354","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","256.89599999999336","001.png","858.57792","251.12160000000003","True","False","mono","False","18","no","white","no","yes","LTR","858.57792","251.12160000000003","864","1","000.png","001.png","2","psycho","English","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","108812.7058","Neonatal Nightingale","4.1.14","5","5","no_prime_trial_9","9","LTR","","0","num_2","space","num_2","NA","NA","num_2","440.00560000000405","971.9691999999995","NA","NA","440.00560000000405","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","107.77049489999999","614.0","922.0","699.0","165.0","37813.3081","NA","NA","5476.560100000001","107770.3948","107770.4737","NA","6986.201199999997","36506.3471","NA","5476.747399999994","114266.04660000002","107759.9586","NA","107792.27549999999","107797.8817","7609.699399999997","113814.47639999999","38785.9522","NA","NA","38992.2899","107759.9392","114266.01289999999","113825.23559999999","107759.8835","108801.9056","108798.3148","38992.432199999996","107759.5695","108801.9816","108812.6713","6986.267799999993","Attentional Spatial Bias","0","0","0","9","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","267","-267","267","-267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","9","9","0","0","0","NA","0","9","9","NA","9","9","0","9","0","0","NA","0","9","9","9","9","9","9","0","9","9","9","0","17.471430557753372","Thu Jul 30 15:52:23 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","212.69470000002184","002.png","634.03008","343.20672","True","False","mono","False","18","no","white","no","yes","LTR","634.03008","343.20672","864","1","002.png","003.png","2","psycho","English","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-62.csv","150","psycho","no","115686.77429999999","Neonatal Nightingale","4.1.14","2","2","no_prime_trial_10","10","LTR","","0","num_2","space","num_2","NA","NA","num_2","709.8155999999872","971.9691999999995","NA","NA","709.8155999999872","2","psycho","3, 6, 4, 1, 2, 5, 4, 1, 5, 2, 6, 3, 6, 5, 4, 3, 1, 2, 3, 5, 2, 4, 6, 1, 4, 1, 6, 2, 5, 3, 5, 2, 4, 3, 1, 6, 6, 3, 2, 4, 1, 5, 5, 6, 2, 1, 4, 3","False","1024","2","48000","-16","experiment","62","even","114.39131689999999","501.0","1035.0","278.0","586.0","37813.3081","NA","NA","5476.560100000001","114391.13739999999","114391.2817","NA","6986.201199999997","36506.3471","NA","5476.747399999994","121410.0695","114377.85919999999","NA","114669.0085","114674.38849999999","7609.699399999997","120692.12479999999","38785.9522","NA","NA","38992.2899","114377.8398","121410.02649999999","120699.4309","114377.79000000001","115677.4423","115674.51299999999","38992.432199999996","114377.3027","115677.49989999998","115686.74279999999","6986.267799999993","Attentional Spatial Bias","0","0","0","10","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","-154","154","-154","154"
