"BLOCK_SIZE","DEADLINE_MS","NUM_BLOCKS","acc","accuracy","average_response_time","avg_rt","background","block_index","canvas_backend","central_fixation","clock_backend","color_backend","coordinates","correct","correct_Circle","correct_response_prompt","count_Circle","count_calibration_note","count_epilogue","count_experiment","count_fixation","count_fixation_cross_inline_script","count_goodbye","count_init_experiment","count_instructions","count_iti","count_language_selection","count_log_trial","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_pygaze_log","count_new_advanced_delay","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_position_randomization_inline_script","count_prime_display","count_record_response","count_response_prompt","count_set_prime","count_stimulus_display","count_stimulus_positions_inline_script","count_trial_loop","count_trial_sequence","count_trigger_fixation","count_trigger_stimulus","count_welcome","d","datetime","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","first_fix_rt","first_fix_side","first_fix_x","first_fix_y","fixation_found","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","group","gx","gy","height","idx","img_left","img_right","key","keyboard_backend","lang","live_row","live_row_trial_loop","logfile","margin","mouse_backend","mouse_simulation","onset","opensesame_codename","opensesame_version","pos","position","prime_condition","prime_index","prime_lang","prime_text","repeat_cycle","response","response_Circle","response_count","response_new_1_sketchpad","response_new_sketchpad","response_response_prompt","response_time","response_time_Circle","response_time_new_1_sketchpad","response_time_new_sketchpad","response_time_response_prompt","round_decimals","sampler_backend","seq","show_prime","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","t0","target_x_left","target_x_right","target_y_left","target_y_right","time_Circle","time_calibration_note","time_epilogue","time_experiment","time_fixation","time_fixation_cross_inline_script","time_goodbye","time_init_experiment","time_instructions","time_iti","time_language_selection","time_log_trial","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_pygaze_log","time_new_advanced_delay","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_position_randomization_inline_script","time_prime_display","time_record_response","time_response_prompt","time_set_prime","time_stimulus_display","time_stimulus_positions_inline_script","time_trial_loop","time_trial_sequence","time_trigger_fixation","time_trigger_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","trial_nr","txt_calibration","txt_goodbye","txt_instructions","txt_response_prompt","txt_welcome","ui_language","width","xL","xR","x_left","x_right","yL","yR","y_left","y_right"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","0","0","0","0","0","NA","0","0","0","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","83.97522787001418","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","17.522100009955466","000.png","754.7904","819.26208","True","False","mono","False","18","no","white","no","yes","LTR","754.7904","819.26208","864","0","000.png","001.png","num_2","psycho","English","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","138127.04880000092","Neonatal Nightingale","4.1.14","5","5","prime_1","1","LTR","On a sunny farm, a mother duck waited for her eggs to hatch. The eggs cracked open one by one, and fluffy yellow ducklings came out. One egg was bigger and took longer to hatch.","0","num_1","num_1","num_1","NA","NA","num_1","16504.26679989323","10657.98159991391","NA","NA","16504.26679989323","2","psycho","5,1,4,2,6,3,2,5,1,3,6,4,3,1,4,5,2,6,6,5,3,4,1,2,4,1,5,6,3,2,3,4,2,1,6,5,3,6,4,2,5,1,2,6,4,1,3,5","True","1024","2","48000","-16","experiment","60","even","137.09747759997845","614.0","922.0","699.0","165.0","98797.70490003284","NA","NA","5710.881400038488","137097.38839999773","137097.45789994486","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","159648.21479993407","137080.5102000013","NA","137102.64559998177","137116.20129994117","24544.047000003047","143129.1942000389","109456.38069999404","NA","NA","109999.59259992465","110099.89880002104","159648.18000001833","143143.35130003747","110099.84249994159","138119.92269998882","138116.6200999869","109999.73029992543","110099.34199997224","138119.9840999907","138127.01980001293","14432.761800009757","Attentional Spatial Bias","0","0","0","1","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","267","-267","267","-267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","1","1","0","0","0","NA","0","1","1","NA","1","1","0","1","0","0","NA","0","1","1","1","1","1","1","0","1","1","1","0","62.643240081719966","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","241.02120008319616","002.png","543.6672","398.96064","True","False","mono","False","18","no","white","no","yes","LTR","543.6672","398.96064","864","0","002.png","003.png","num_2","psycho","English","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","161089.29509995505","Neonatal Nightingale","4.1.14","1","1","no_prime_trial_2","2","LTR","","0","num_2","num_1","num_2","NA","NA","num_2","3433.437000028789","10657.98159991391","NA","NA","3433.437000028789","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","159.79681840003468","460.0","1076.0","432.0","432.0","98797.70490003284","NA","NA","5710.881400038488","159796.70880001504","159796.79159994703","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","169536.12069995143","159785.11489997618","NA","160072.49239995144","160078.2171000028","24544.047000003047","166094.43579998333","109456.38069999404","NA","NA","109999.59259992465","159785.09419993497","169536.09079995658","166102.18169994187","159785.04280000925","161081.38490002602","161078.55390000623","109999.73029992543","159784.21509999316","161081.43040002324","161089.25419999287","14432.761800009757","Attentional Spatial Bias","0","0","0","2","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-308","308","-308","308","0","0","0","0"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","2","2","0","0","0","NA","0","2","2","NA","2","2","0","2","0","0","NA","0","2","2","2","2","2","2","0","2","2","2","0","43.20435604704694","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","306.3092000083998","004.png","727.58784","260.47008","True","False","mono","False","18","no","white","no","yes","LTR","727.58784","260.47008","864","0","004.png","005.png","num_2","psycho","English","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","170932.7675999375","Neonatal Nightingale","4.1.14","4","4","no_prime_trial_3","3","LTR","","0","num_2","num_1","num_2","NA","NA","num_2","2281.0501999920234","10657.98159991391","NA","NA","2281.0501999920234","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","169.66715390002355","768.0","768.0","124.0","740.0","98797.70490003284","NA","NA","5710.881400038488","169667.05369995907","169667.1314999694","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","178224.39079999458","169654.67479999643","NA","169916.41800000798","169921.99489998166","24544.047000003047","175934.41200000234","109456.38069999404","NA","NA","109999.59259992465","169654.65589996893","178224.35719997156","175942.58969998918","169654.61760002654","170925.59919995256","170922.53340000752","109999.73029992543","169654.37849995214","170925.6660999963","170932.7156000072","14432.761800009757","Attentional Spatial Bias","0","0","0","3","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","0","0","0","0","-308","308","-308","308"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","3","3","0","0","0","NA","0","3","3","NA","3","3","0","3","0","0","NA","0","3","3","3","3","3","3","0","3","3","3","0","97.06456624511338","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","241.86079995706677","006.png","544.6348800000001","295.68672","True","False","mono","False","18","no","white","no","yes","LTR","544.6348800000001","295.68672","864","0","006.png","007.png","num_2","psycho","English","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","179691.49490003474","Neonatal Nightingale","4.1.14","2","2","no_prime_trial_4","4","LTR","","0","num_2","num_1","num_2","NA","NA","num_2","1707.8438000753522","10657.98159991391","NA","NA","1707.8438000753522","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","178.3772399999434","501.0","1035.0","278.0","586.0","98797.70490003284","NA","NA","5710.881400038488","178377.13669997174","178377.21790000796","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","186408.29980000854","178365.7231000252","NA","178670.6907999469","178676.7661999911","24544.047000003047","184691.62970001344","109456.38069999404","NA","NA","109999.59259992465","178365.70229998324","186408.26099994592","184699.76839993615","178365.65779999364","179680.23309996352","179677.34980001114","109999.73029992543","178365.20839994773","179680.28999993112","179691.45699997898","14432.761800009757","Attentional Spatial Bias","0","0","0","4","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","-154","154","-154","154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","4","4","0","0","0","NA","0","4","4","NA","4","4","0","4","0","0","NA","0","4","4","4","4","4","4","0","4","4","4","0","95.48448764424931","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","214.34850001242012","009.png","915.3792","325.67616","True","False","mono","False","18","no","white","no","yes","LTR","915.3792","325.67616","864","0","008.png","009.png","num_2","psycho","English","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","187573.58560001012","Neonatal Nightingale","4.1.14","6","6","no_prime_trial_5","5","LTR","","0","num_1","num_1","num_1","NA","NA","num_1","2830.48880007118","10657.98159991391","NA","NA","2830.48880007118","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","186.54200639994815","501.0","1035.0","586.0","278.0","98797.70490003284","NA","NA","5710.881400038488","186541.88709997106","186541.97539994493","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","195416.39429994393","186528.80359999835","NA","186558.30269993749","186564.2993999645","24544.047000003047","192577.28890003636","109456.38069999404","NA","NA","109999.59259992465","186528.78049993888","195416.36100003961","192585.1669999538","186528.72319996823","187567.63229996432","187564.44310001098","109999.73029992543","186528.16590003204","187567.68440001179","187573.55480000842","14432.761800009757","Attentional Spatial Bias","0","0","0","5","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","154","-154","154","-154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","0","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","5","5","0","0","0","NA","0","5","5","NA","5","5","0","5","0","0","NA","0","5","5","5","5","5","5","0","5","5","5","0","49.41096966101351","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","193.44179995823652","010.png","650.60352","262.34496","True","False","mono","False","18","no","white","no","yes","LTR","650.60352","262.34496","864","0","010.png","011.png","num_2","psycho","English","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","196799.8002000386","Neonatal Nightingale","4.1.14","3","3","no_prime_trial_6","6","LTR","","0","num_1","num_1","num_1","NA","NA","num_1","2884.768799995072","10657.98159991391","NA","NA","2884.768799995072","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","195.54164269997273","614.0","922.0","165.0","699.0","98797.70490003284","NA","NA","5710.881400038488","195541.55019996688","195541.62179993","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","204696.99640001636","195530.27420002036","NA","195782.37949998584","195788.13390003052","24544.047000003047","201803.9003999438","109456.38069999404","NA","NA","109999.59259992465","195530.25319997687","204696.95869996212","201810.93379994854","195530.19730001688","196791.76829999778","196788.50769996643","109999.73029992543","195529.01629998814","196791.8295999989","196799.74589997437","14432.761800009757","Attentional Spatial Bias","0","0","0","6","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","-267","267","-267","267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","6","6","0","0","0","NA","0","6","6","NA","6","6","0","6","0","0","NA","0","6","6","6","6","6","6","0","6","6","6","0","97.34626217016447","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","289.5061000017449","012.png","593.38752","311.99039999999997","True","False","mono","False","18","no","white","no","yes","LTR","593.38752","311.99039999999997","864","1","012.png","013.png","num_2","psycho","English","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","223520.65459999721","Neonatal Nightingale","4.1.14","2","2","prime_2","7","LTR","A big grey bird came out of the last egg. He looked different from the others. The ducklings laughed and called him ugly. Sad and alone, he ran away from the farm.","0","num_1","num_1","num_1","NA","NA","num_1","3678.69180010166","10657.98159991391","NA","NA","3678.69180010166","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","True","1024","2","48000","-16","experiment","60","even","222.49864460004028","501.0","1035.0","278.0","586.0","98797.70490003284","NA","NA","5710.881400038488","222498.57789999805","222498.62710002344","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","232208.21459998842","222488.45219996292","NA","222504.1108999867","222509.94529994205","24544.047000003047","228520.86869999766","109456.38069999404","NA","NA","109999.59259992465","204827.58379995357","232208.18449999206","228528.91689992975","204827.52789999358","223513.0715999985","223510.2879999904","109999.73029992543","204827.07210001536","223513.11289996374","223520.62429999933","14432.761800009757","Attentional Spatial Bias","0","0","0","7","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-267","267","-267","267","-154","154","-154","154"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","7","7","0","0","0","NA","0","7","7","NA","7","7","0","7","0","0","NA","0","7","7","7","7","7","7","0","7","7","7","0","70.38260112635798","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","285.00400006305426","014.png","541.7472","551.67264","True","False","mono","False","18","no","white","no","yes","LTR","541.7472","551.67264","864","1","014.png","015.png","num_2","psycho","English","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","233639.20969993342","Neonatal Nightingale","4.1.14","5","5","no_prime_trial_8","8","LTR","","0","num_1","num_1","num_1","NA","NA","num_1","815.5538999708369","10657.98159991391","NA","NA","815.5538999708369","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","232.34683339996263","614.0","922.0","699.0","165.0","98797.70490003284","NA","NA","5710.881400038488","232346.74249996897","232346.81160002947","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","239464.1241999343","232335.01999999862","NA","232617.93850001413","232623.9570999751","24544.047000003047","238640.07580000907","109456.38069999404","NA","NA","109999.59259992465","232334.9898000015","239464.09299992956","238648.07150000706","232334.91570001934","233628.06659995113","233624.5302000316","109999.73029992543","232334.19429999776","233628.1126999529","233639.16260004044","14432.761800009757","Attentional Spatial Bias","0","0","0","8","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","267","-267","267","-267"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","8","8","0","0","0","NA","0","8","8","NA","8","8","0","8","0","0","NA","0","8","8","8","8","8","8","0","8","8","8","0","33.42740160766312","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","201.73240010626614","000.png","608.11776","419.472","True","False","mono","False","18","no","white","no","yes","LTR","608.11776","419.472","864","1","000.png","001.png","num_2","psycho","English","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","240840.11689992622","Neonatal Nightingale","4.1.14","1","1","no_prime_trial_9","9","LTR","","0","num_2","num_1","num_2","NA","NA","num_2","2339.0714999986812","10657.98159991391","NA","NA","2339.0714999986812","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","239.57616830000188","460.0","1076.0","432.0","432.0","98797.70490003284","NA","NA","5710.881400038488","239576.07990002725","239576.14629995078","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","248192.30150000658","239563.32239997573","NA","239822.51830003224","239828.04549997672","24544.047000003047","245844.33899994474","109456.38069999404","NA","NA","109999.59259992465","239563.30079992767","248192.26889999118","245852.59339993354","239563.25000000652","240831.01439999882","240828.14560004044","109999.73029992543","239562.96150002163","240831.06629992835","240840.07199993357","14432.761800009757","Attentional Spatial Bias","0","0","0","9","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-308","308","-308","308","0","0","0","0"
"6","5000","8","undefined","undefined","undefined","undefined","#1a1a1a","1","psycho","True","psycho","psycho","uniform","undefined","undefined","undefined","0","NA","0","0","9","9","0","0","0","NA","0","9","9","NA","9","9","0","9","0","0","NA","0","9","9","9","9","9","9","0","9","9","9","0","32.322559499445596","Tue Jul 21 15:15:07 2026","1000","The main experiment item","False","V7_AttentionalSpatialBias_.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment","221.80499997921288","002.png","674.70336","256.73760000000004","True","False","mono","False","18","no","white","no","yes","LTR","674.70336","256.73760000000004","864","1","002.png","003.png","num_2","psycho","English","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-bayes\Experiment\subject-60.csv","150","psycho","no","249370.16159994528","Neonatal Nightingale","4.1.14","3","3","no_prime_trial_10","10","LTR","","0","num_2","num_1","num_2","NA","NA","num_2","1875.0052000395954","10657.98159991391","NA","NA","1875.0052000395954","2","psycho","5, 1, 4, 2, 6, 3, 2, 5, 1, 3, 6, 4, 3, 1, 4, 5, 2, 6, 6, 5, 3, 4, 1, 2, 4, 1, 5, 6, 3, 2, 3, 4, 2, 1, 6, 5, 3, 6, 4, 2, 5, 1, 2, 6, 4, 1, 3, 5","False","1024","2","48000","-16","experiment","60","even","248.31871619995218","614.0","922.0","165.0","699.0","98797.70490003284","NA","NA","5710.881400038488","248318.54779995047","248318.6794000212","NA","14432.68630001694","59568.896299926564","NA","5711.218899930827","256256.4057999989","248307.12539993692","NA","248351.16840002593","248356.8940999685","24544.047000003047","254372.91139992885","109456.38069999404","NA","NA","109999.59259992465","248307.1058000205","256256.3684999477","254380.7307999814","248307.06190003548","249360.96570000518","249357.55269997753","109999.73029992543","248306.69270001817","249361.0191999469","249370.1208999846","14432.761800009757","Attentional Spatial Bias","0","0","0","10","We will now calibrate the eye tracker.<br><b>Please follow the moving dot with your eyes and keep your head still.<b><br>Please wait.","Thank you for participating!<br><b>The experiment has now ended.<b><br>Please call the experimenter.","In this experiment, you will read a short story presented on the screen.<br><br>Please read each line carefully, as you will be asked a few questions about the story at the end of the experiment.<br><br>After each paragraph, you will see a pair of images.<br><br>Look at both images and count the total number of circles across the two pictures.<br><br>on the next screen you can see examples of a correct circle and an incorrect shape. Only count shapes that match the correct circle example..<br><br>Press any key to begin.","Experimenter: enter circle count (press 0-3)","Welcome!<br><br>Press any key to continue.","English","1536","-154","154","-154","154","-267","267","-267","267"
